Location,Rating,Comment,Transaction Date and Time,Transaction Value,feedback_id,,
MT Wellington  ,5,Every thing was nice and hot staff where very helpful,20/10/2024 11:05:00 AM,$22.90,4975850,,
Hornby  ,5,Excellent service food and drinks thank you,20/10/2024 10:30:00 AM,$15.00,4975852,,
Ferryhead,5,Prompt service,20/10/2024 11:17:00 AM,$30.00,4975853,,
Invercargill  ,5,Pleasant staff - good range of edibles,20/10/2024 10:16:00 AM,$10.60,4975855,,
Bethlehem,5,Always great coffee and service with a smile,20/10/2024 11:48:00 AM,$8.80,4975856,,
Porirua  ,5,Great atmosphere.Friendly staff prompt coffee,20/10/2024 10:53:01 AM,$11.50,4975858,,
Hornby  ,5,Pleasant and efficient,20/10/2024 9:19:00 AM,$10.20,4975863,,
Manukau Centre,5,"Both the food and the coffee were great, and the staff were very friendly :-)",20/10/2024 11:07:00 AM,$50.10,4975864,,
Gate Pa ,4,Nothing I can think of . I only gave 4 stars as it lacks the unique ambiance of some other cafes,20/10/2024 9:34:01 AM,$9.80,4975865,,
Ruakura  ,5,The friendly staff nuce and clean cafe. Plus food is delicious and fast service. Just sobeasy to pop in while shopping at mitre 10.,20/10/2024 11:08:00 AM,$54.00,4975867,,
Botany  ,5,Nice clean café and friendly staff with a tasty food.,20/10/2024 7:02:00 AM,$5.30,4975871,,
Masterton  ,5,Great friendly service and lovely toasted sandwiches.,20/10/2024 9:26:01 AM,$23.00,4975874,,
Pakuranga,5,Always friendly and helpful. Creates a good atmosphere,20/10/2024 8:41:00 AM,$7.00,4975876,,
Dunedin  ,5,The assistants are always polite and very helpful,20/10/2024 9:07:00 AM,$15.50,4975880,,
Lincoln Road,5,"Staff know my coffee order before i even place it, fantastic service !",20/10/2024 12:53:00 PM,$5.30,4975881,,
Petone  ,5,"The GF white choc and berry muffin is the best
Coffee good too
Friendly service and prompt",20/10/2024 9:11:01 AM,$20.20,4975883,,
Rotorua,5,Nice friendly service - and good food!,20/10/2024 11:06:00 AM,$25.50,4975884,,
Pukekohe  ,5,"Nice coffee, staff and good service.",20/10/2024 9:31:01 AM,$10.80,4975887,,
Cambridge  ,5,a,20/10/2024 9:18:00 AM,$15.50,4975888,,
Greymouth  ,5,"Great service, friendly staff.",20/10/2024 10:35:00 AM,$4.50,4975890,,
Wanganui  ,4,Slightly cheaper prices,20/10/2024 10:19:00 AM,$25.30,4975891,,
Ellerslie ,5,Great service,20/10/2024 9:42:00 AM,$5.30,4975895,,
Manukau  ,5,Service with smiles and coffee,20/10/2024 8:15:00 AM,$5.30,4975900,,
Nelson ,4,cheesier cheese scones would be good,20/10/2024 10:47:00 AM,$10.80,4975904,,
Palmerston Nth ,5,atmosphere. great coffee &service,20/10/2024 9:10:00 AM,$4.50,4975906,,
Kapiti  ,5,always friendly,20/10/2024 9:38:01 AM,$31.40,4975907,,
Oamaru  ,5,lindaharrex@hotmail.com,20/10/2024 11:34:00 AM,$48.40,4975908,,
Glenfield ,5,Great service and very friendly.,20/10/2024 9:49:00 AM,$14.20,4975909,,
Gisborne  ,5,"The food and especially the Service are JUST BRILLIANT .You are also open 7 Days a week and recently on a trip away we visited Napier,Hastings and Mastertons ABCs's Cafes because we like the food and the service was great in all locations as well as Gisborne where we live. I generally visit a cafe in Gisborne once a week sometimes twice a week.",20/10/2024 10:03:00 AM,$33.00,4975911,,
Williams Drive,5,Willingness to prepare my meal the way I want it and friendly staff.,20/10/2024 6:47:00 AM,$23.70,4975912,,
Pakuranga,5,"The staff were very friendly, outgoing and very punctual bringing food out to us. Great coffe & service.",20/10/2024 10:38:00 AM,$32.20,4975913,,
Westgate  ,5,Very friendly and welcoming staff.,20/10/2024 11:25:00 AM,$9.80,4975916,,
Gate Pa ,4,"Good question, I frequent the cafe and it is very good, I like it, but I never come away going WOW!"" Which would be a 5 for me. 4 is very good and I don't really know what would make me go wow.""",20/10/2024 12:05:00 PM,$5.70,4975924,,
Pukekohe  ,5,"Lovely welcome and service, excellent coffee (yes it was hot) and scone",20/10/2024 8:21:00 AM,$19.50,4975925,,
Whangarei  ,5,"great staff, great tasting food",20/10/2024 9:57:00 AM,$36.80,4975926,,
Botany ,5,Great tasting coffee.,20/10/2024 11:24:00 AM,$5.80,4975927,,
Dunedin  ,5,"We always enjoy our twice a week visits for our Trim Flat White, Extra Hot Bowls. Good service, nice setting - what more could we ask for?",20/10/2024 9:14:00 AM,$12.20,4975931,,
Manukau  ,3,Asked for raw sugar and got sweetener,20/10/2024 12:28:00 PM,$27.10,4975932,,
Ellerslie ,5,I like the staff there.,19/10/2024 6:24:00 AM,$5.30,4975934,,
Bethlehem,5,Very pleasant staff,20/10/2024 7:10:00 AM,$5.30,4975935,,
Rangiora,5,The Friendly Staff and the lovely Coffee and Delicious Food.,20/10/2024 10:44:00 AM,$15.30,4975936,,
Broadway,5,Great scones. Good coffee. Good service.,20/10/2024 9:30:01 AM,$15.40,4975938,,
Takanini  ,5,Friendly efficient service always and the best coffee ever !!,20/10/2024 6:59:00 AM,$17.10,4975939,,
Nelson ,5,"Great coffee, very friendly staff.",20/10/2024 10:36:00 AM,$15.60,4975947,,
Newtown,4,Open longer,20/10/2024 1:53:00 PM,$13.70,4975948,,
Dunedin  ,4,Not half-mast my Americano.,20/10/2024 8:12:00 AM,$8.70,4975952,,
Rosebank Road,5,Customer service,20/10/2024 6:39:00 AM,$5.30,4975953,,
Rotorua  ,5,"Friendly staff ,great food.",20/10/2024 8:59:00 AM,$9.00,4975958,,
Papanui  ,5,"We love it - the sevice great BUT today although we enjoyed with our friends, the savoury scones were small and mingy for the price!!!!. Please revert to the normal size ones!",20/10/2024 8:59:00 AM,$13.60,4975959,,
Riccarton,5,Great service and coffee,20/10/2024 11:45:00 AM,$4.50,4975961,,
Taupo  ,5,"Lovely friendly Staff, nice Coffee too and a great selection from the Cabinets, love the Date Scones.",20/10/2024 9:20:00 AM,$5.30,4975969,,
Papanui  ,5,Service and staff,20/10/2024 8:34:00 AM,$8.30,4975973,,
Queenstown  ,5,Always amazing coffee and food! Team is awesome too!,20/10/2024 10:05:00 AM,$56.90,4975974,,
Pukekohe  ,3,"coffee was nice and hot, and the wait time was pretty good.",20/10/2024 10:46:01 AM,$10.60,4975975,,
Takanini  ,5,Good food and coffee served with great friendly service,20/10/2024 9:04:01 AM,$10.90,4975976,,
Oamaru  ,5,"Orange @ date scones, coffee is good, nice staff, lovely breakfasts",20/10/2024 11:20:00 AM,$13.60,4975977,,
Napier  ,4,just a bit quieter setting.,20/10/2024 9:05:00 AM,$4.00,4975978,,
Manukau Centre,5,Service with a smo,20/10/2024 1:48:00 PM,$58.20,4975979,,
Manukau Centre,4,"Not too much. Tea was a little cold (boiling water a must), but overall I’m happy with ABCs.",20/10/2024 11:58:00 AM,$9.00,4975980,,
Aubyn  ,5,friendly and nice coffee,20/10/2024 12:56:00 PM,$4.50,4975981,,
MT Wellington  ,5,Always the staff !,20/10/2024 10:30:00 AM,$9.80,4975982,,
Hornby  ,5,Friendly staff and great coffee.,19/10/2024 9:44:00 AM,$5.80,4975983,,
Glenfield ,5,the staff at Glenfield Mitre10 ABCs are the greatest of all the ABCs cafes that we have visited,20/10/2024 10:13:00 AM,$9.99,4975984,,
Pukekohe  ,4,More gluten free dairy free options in the cabinet food.,20/10/2024 10:56:01 AM,$21.90,4975987,,
Rosebank Road,5,Great coffee made just how i like it. Lovely friendly staff.,20/10/2024 8:39:00 AM,$8.50,4975990,,
Pukekohe  ,4,Put everything on display board menu on plate. Apart from that it was lovely,20/10/2024 10:33:00 AM,$46.60,4975992,,
Botany ,5,The service and the coffee,20/10/2024 9:30:01 AM,$17.50,4975999,,
Albany ,4,The caramel slice was way too sweet. Coffee nice. Staff okay. Venue okay.,20/10/2024 1:30:00 PM,$8.30,4976001,,
Gate Pa ,5,Nice service,20/10/2024 8:55:00 AM,$3.80,4976004,,
Ferryhead,5,"Staff are always friendly, food is great and well priced. Cafe is clean and spacious and no annoying loud music.",20/10/2024 9:13:00 AM,$23.20,4976005,,
Aubyn  ,5,Pleasant person counter,20/10/2024 1:39:00 PM,$14.50,4976006,,
Marlborough  ,5,The ladies are always busy but time to say hello and a bit of a chat,20/10/2024 9:02:00 AM,$16.80,4976007,,
Napier  ,5,Amazing scones and friendly staff,20/10/2024 8:29:00 AM,$19.00,4976008,,
Papanui  ,5,The service,20/10/2024 8:35:00 AM,$13.80,4976012,,
Te Awamutu  ,5,The food was great!,20/10/2024 11:45:00 AM,$42.80,4976014,,
Kapiti  ,5,"Nice food, good service",20/10/2024 9:56:00 AM,$6.50,4976015,,
Greymouth  ,5,friendly prople prompt service and good food,20/10/2024 11:45:00 AM,$46.00,4976016,,
Whakatane,5,good service good coffee and extra exta hot just how i like it,20/10/2024 10:34:00 AM,$5.30,4976018,,
Masterton  ,5,Staff greeting happy and quick to serve us. Asked if we wanted anything to drink and offered us water for the table.,20/10/2024 10:51:00 AM,$15.00,4976022,,
Pukekohe  ,5,Lovely atmosphere great food,20/10/2024 10:22:00 AM,$15.50,4976024,,
Manukau  ,5,The staff are always n E and friendly and the food drinks etc always fresh and tasty.,20/10/2024 12:09:00 PM,$4.80,4976031,,
New Plymouth  ,5,"Lovely coffee, quick nice food options. Lifestyle choices (gf, paleo)",20/10/2024 8:58:00 AM,$11.10,4976033,,
Rangiora,5,We come every Tuesday - the old biking group (old being the operative word!) - the coffee’s always just how we want it!,20/10/2024 9:32:01 AM,$5.30,4976034,,
Levin  ,5,Good service friendly staff,20/10/2024 10:21:00 AM,$18.30,4976035,,
MT Wellington  ,4,Just convenience of location. Nothing wrong with the offer,20/10/2024 8:59:00 AM,$4.50,4976038,,
Pakuranga,5,The lady owner of the franchise was very friendly and sent her barista over to me with my coffee without me having to get up and ask for it a second time. She is an Indian lady.,20/10/2024 11:07:00 AM,$5.30,4976039,,
Palmerston Nth ,5,Great staff and service,20/10/2024 10:50:00 AM,$13.70,4976040,,
Sylvia Park ,4,Let us know what is your opening time. Seems to vary week to week. Staff are friendly and easy to deal with,19/10/2024 6:39:00 AM,$3.00,4976042,,
Petone  ,5,Great food zbd good coffee,20/10/2024 10:00:00 AM,$5.00,4976043,,
Kapiti  ,5,Date scones,20/10/2024 9:39:00 AM,$13.95,4976044,,
MT Wellington  ,5,Good coffee. Pleasant staff,20/10/2024 9:26:01 AM,$11.80,4976046,,
Kapiti  ,5,Nice atmosphere good service,20/10/2024 10:53:01 AM,$0.00,4976049,,
Botany  ,5,"Orange and date scones,delicious,friendly service.",20/10/2024 1:28:00 PM,$4.50,4976050,,
Riccarton,5,excellent,20/10/2024 11:10:00 AM,$22.20,4976051,,
Invercargill,5,"great service, tasty Earl Grey tea",20/10/2024 10:42:00 AM,$18.50,4976054,,
Richmond,5,Great atmosphere and service,20/10/2024 9:17:00 AM,$10.60,4976055,,
London St,5,Good service,20/10/2024 11:19:00 AM,$22.30,4976062,,
Bethlehem,5,Lovely Coffees and a scrumptious date scone.,20/10/2024 9:41:00 AM,$14.60,4976063,,
Pukekohe  ,5,"Good coffee, great staff and service, pleasant surroundings.",20/10/2024 9:12:00 AM,$9.00,4976064,,
Marlborough  ,5,"Brilliant Tracy, Micaela and the rest of the staff pluc good food.",20/10/2024 10:53:01 AM,$40.90,4976066,,
Warkworth  ,5,"Awesome staff, great food and just the best coffee",20/10/2024 9:25:01 AM,$4.90,4976069,,
Henderson  ,5,everything,20/10/2024 11:54:00 AM,$8.00,4976071,,
Greymouth  ,5,"Lovely friendly staff, good range of food and a good safe play area for children",20/10/2024 12:59:00 PM,$51.10,4976072,,
Kapiti  ,5,Service was really good today.,20/10/2024 10:59:00 AM,$10.10,4976073,,
Glenfield ,5,"With my business I travel all over Auckland and your team at ABCs Glenfield Mitre 10 are by far the most friendly, hard working, group I have come across, plus they all seem to enjoy their job and have fun doing it and interacting with their customers.",20/10/2024 6:34:00 AM,$5.80,4976075,,
Broadway,5,"Great service, smiles.. and coffee and muffin delicious.",20/10/2024 9:23:01 AM,$13.50,4976076,,
Timaru,5,Great cheerful service and great coffee and data & orange scone.,20/10/2024 7:58:00 AM,$15.70,4976078,,
Te Awamutu  ,5,The friendly and helpful waitress,19/10/2024 10:43:00 AM,$13.70,4976080,,
Takanini  ,5,Food&service regular visitor,20/10/2024 9:06:00 AM,$4.30,4976082,,
Te Rapa  ,5,The service and meals,20/10/2024 11:43:00 AM,$23.70,4976083,,
Kerikeri,5,"Great service, smiley faces at the counter and chatted kindly to my two year old. Wonderful service and delish coffee. All around great experience.",20/10/2024 12:56:00 PM,$8.50,4976084,,
Warkworth  ,5,"Service and quality of food, however the prices are creeping up and I am aware of reasons for this but it makes you think twice about eating out.",20/10/2024 11:13:00 AM,$18.50,4976088,,
Lincoln Road,4,More gluten free muffin options,20/10/2024 1:44:00 PM,$10.40,4976091,,
Te Awamutu  ,4,Prices are a bit hot,20/10/2024 9:26:01 AM,$9.60,4976093,,
Albany ,3,Improve range of counter food,20/10/2024 11:44:00 AM,$17.50,4976095,,
Kerikeri,4,Don't know,19/10/2024 2:45:00 PM,$9.00,4976096,,
Warkworth  ,5,Great coffee and staff.,20/10/2024 9:49:00 AM,$10.40,4976097,,
Ruakura  ,5,The staff attitude and coffee are always excellent!,20/10/2024 9:22:01 AM,$5.30,4976099,,
MT Wellington  ,5,Great service,20/10/2024 10:22:00 AM,$7.50,4976100,,
Porirua  ,3,More variety in the food offering,20/10/2024 10:47:00 AM,$17.30,4976103,,
Papanui  ,5,The food,20/10/2024 9:16:00 AM,$17.50,4976104,,
Kerikeri,5,The service with a smile etc was awesome and being a regular customer they know your order before you even get to the counter.,20/10/2024 7:48:00 AM,$3.04,4976106,,
Marlborough  ,5,"Fabulous service, very friendly staff & great food & coffee",20/10/2024 8:47:00 AM,$16.60,4976107,,
Masterton  ,5,Good service and food is as i wanted it to be.,20/10/2024 10:15:00 AM,$12.50,4976111,,
Dunedin  ,5,Gf cheese scones,20/10/2024 9:14:00 AM,$10.50,4976112,,
Ferryhead,5,Excellent service,20/10/2024 9:56:00 AM,$12.96,4976113,,
Kapiti  ,5,"Nice staff, good food and good service.",20/10/2024 9:49:00 AM,$20.00,4976115,,
Riccarton,4,Nothing I can think of at this time,20/10/2024 10:18:00 AM,$11.00,4976116,,
Wanganui  ,5,Consistently great service and speed.,19/10/2024 9:15:00 AM,$4.77,4976117,,
Glenfield ,5,"Great selection of food and great coffee, as always.",20/10/2024 9:24:01 AM,$4.90,4976118,,
Palmerston Nth,5,excellent service and great coffee,20/10/2024 8:29:00 AM,$5.50,4976119,,
Rangiora,5,The staff are always pleasant and the cafe is always very clean.,19/10/2024 8:59:00 AM,$4.50,4976124,,
Rosebank Road,5,Had the usual great sevice,19/10/2024 5:52:00 AM,$16.40,4976125,,
Oamaru  ,5,Great food and coffee also the staff are lovely .,19/10/2024 9:23:00 AM,$4.50,4976128,,
Kerikeri,5,Friendly fast service,20/10/2024 10:57:01 AM,$18.30,4976129,,
Masterton  ,5,The Coffee,20/10/2024 10:42:00 AM,$19.80,4976133,,
Ashburton ,5,"Not only does the coffee perk you up, but so do the fabulous staff",20/10/2024 8:35:00 AM,$5.30,4976138,,
Glen Innes,5,Beautiful family service!,20/10/2024 6:12:00 AM,$4.00,4976139,,
Ruakura  ,5,"Friendly staff, great coffee",20/10/2024 9:25:01 AM,$22.60,4976141,,
Papanui  ,5,We visit after we have walked in Northlands Mall with the Kiwifit group.We LOVE your scones with a cup of tea ! We also have to walk around the plants almost always purchasing something on our way out .,20/10/2024 8:22:00 AM,$9.30,4976142,,
Marlborough  ,5,I go to M10 cafe regularly and the staff there are always welcoming and friendly and the bowl of coffee (and cheesecake) is great.,20/10/2024 10:09:00 AM,$12.10,4976145,,
Timaru,5,"Super friendly service, cleanliness, great food and coffee!",20/10/2024 8:21:00 AM,$44.00,4976152,,
Manukau Centre,5,Fast service with a smile.,20/10/2024 8:30:00 AM,$10.30,4976154,,
Levin  ,5,The staff were wonderfully happy in their jobs and got on very well together. The food was delicious and quick to arrive at the table.,19/10/2024 11:41:00 AM,$5.30,4976155,,
Ellerslie ,5,Great staff who know my choice of hot beverage off by heart,20/10/2024 9:10:00 AM,$10.60,4976161,,
Te Awamutu  ,5,"My husband and I choose to go to the Te Awamutu ABCs cafe, everytime we are in Te Awamutu. First and foremost, the food is always delicious and well presented, the cafe is always lovely and clean, the staff are friendly and happy. The treat is to wonder through the garden centre afterwards.",20/10/2024 8:50:00 AM,$40.20,4976165,,
Palmerston Nth ,5,The coffee is always delicious and the staff are very obliging the general atmosphere wows us.,20/10/2024 8:10:00 AM,$9.10,4976169,,
Napier  ,5,Friendly service,20/10/2024 8:36:00 AM,$11.90,4976170,,
Oamaru  ,5,friendly staff.,20/10/2024 9:40:00 AM,$5.30,4976171,,
Albany ,5,"The service is friendly and efficient, the food is exceptional, and the environment pleasant and always clean.",20/10/2024 2:14:00 PM,$22.20,4976173,,
Takanini  ,2,"Was redeeming my birthday coffees thank you however very disappointed at being charged $1 ??
Also asked clearly for one in a cup and one in a takeout cup (husband's preference) both arrived in takeout cups :(",20/10/2024 9:13:00 AM,$1.00,4976176,,
Warkworth  ,5,GREAT SERVICE,20/10/2024 11:29:00 AM,$21.80,4976177,,
London St,5,Good friendly staff who recognise me when I enter.,20/10/2024 6:07:00 AM,$16.80,4976178,,
Taupo  ,4,"A bit more milk / frothier as we thought today’s coffees were a trifle watery 
Good service though",20/10/2024 9:56:00 AM,$10.60,4976179,,
Palmerston Nth,5,Always fast and friendly service,20/10/2024 9:41:00 AM,$11.92,4976182,,
Invercargill,5,Good relaxing area,20/10/2024 2:36:00 PM,$14.10,4976185,,
Henderson,5,Awesome staff and service,20/10/2024 10:31:00 AM,$12.00,4976189,,
Hornby  ,5,"great, friendly service.",19/10/2024 9:47:00 AM,$9.90,4976193,,
Pukekohe  ,5,went at a time which wasnt so busy so managed to sit and have a good conversations over a hot cuppa and a lovely warm buttered scone :),20/10/2024 10:36:00 AM,$20.20,4976194,,
Manukau Centre,5,The great service and excellent breakfast meal the eggs Benedict- the presentation was great and the coffee was superb.,20/10/2024 6:16:00 AM,$25.20,4976195,,
Whangarei  ,5,The service and deliceous food,19/10/2024 9:18:00 AM,$5.70,4976197,,
Hornby  ,4,Slight improvement in the scones.Your service is always top notch??,20/10/2024 8:03:00 AM,$4.14,4976199,,
Aubyn  ,5,Friendly helpful staff,19/10/2024 8:26:00 AM,$4.50,4976200,,
Invercargill,5,"Awesome friendly staff, variety of food in the cabinet and clean premises.",20/10/2024 12:56:00 PM,$15.30,4976201,,
Palmerston Nth ,5,I love the coffee. Good selection of food,20/10/2024 9:46:00 AM,$22.30,4976204,,
Glenfield ,5,Friendly service as usual. Allways willing to make our vivit a great one.,20/10/2024 10:31:00 AM,$13.70,4976207,,
Te Awamutu  ,4,"It was quite noisy, but I realise there's probably not a lot you can do about that.",19/10/2024 10:29:00 AM,$28.40,4976208,,
Invercargill  ,5,Coffee & service,20/10/2024 10:14:00 AM,$10.10,4976209,,
Invercargill,5,Fantastic coffee and friendly service,20/10/2024 7:23:00 AM,$3.80,4976211,,
Hornby  ,5,"Well made coffee and friendly service, as usual.",20/10/2024 9:57:00 AM,$5.30,4976214,,
Rangiora,5,Excellent service from friendly staff. Great atmosphere.,20/10/2024 8:54:00 AM,$4.50,4976216,,
Te Awamutu  ,5,"Food great, staff very nice and helpful .. nice place to have lunch",19/10/2024 10:25:00 AM,$18.90,4976218,,
Williams Drive,5,The hospitality and customer service and relaxed atmosphere,19/10/2024 11:32:00 AM,$24.50,4976222,,
Bethlehem,5,"Always love ABCs coffee.
Our favorite cafe",20/10/2024 1:23:00 PM,$5.80,4976223,,
Taupo  ,5,Loved our coffee and date scone.,20/10/2024 10:05:00 AM,$10.10,4976225,,
MT Wellington  ,5,Staff was friendly and helpful. Felt welcomed and food was good.,20/10/2024 9:24:01 AM,$42.80,4976226,,
Gisborne  ,5,Good service,20/10/2024 9:55:00 AM,$15.10,4976227,,
Wellington central,5,Amazing team and great coffee,20/10/2024 8:18:00 AM,$8.10,4976228,,
Rangiora,4,More change in the cabinet.,20/10/2024 11:13:00 AM,$15.00,4976229,,
Napier  ,5,"Great coffee, great morning tea & friendly service.",19/10/2024 9:17:00 AM,$25.02,4976230,,
Levin  ,5,"Having the right staff makes the difference, very friendly and happy. Love the cooked meals including the bakery side. Will be heading back to ABCs cafe Levin daily if not to sit and eat then for my cappuccino. Thank you",20/10/2024 7:08:00 AM,$4.80,4976231,,
Crofton Downs  ,5,"Service is great, so fast, friendly and always remembers my name and order. Coffee is also delicious",20/10/2024 9:46:00 AM,$11.53,4976236,,
Glen Innes,2,"Average coffee, only 1 vegan option in the cabinet and staff started stacking outside chairs and tables...at 12.30 in the afternoon!",20/10/2024 10:06:00 AM,$11.00,4976237,,
Cambridge  ,5,Dyani has an amazing presence. Always smiling and welcoming. Best ever,20/10/2024 9:27:01 AM,$10.50,4976238,,
Te Rapa  ,5,"Good service, food & coffee",20/10/2024 11:53:00 AM,$17.00,4976239,,
Auckland Central,5,Service / coffee / speed,20/10/2024 6:24:00 AM,$4.50,4976240,,
Ferryhead,5,great friendly service,20/10/2024 11:23:00 AM,$3.60,4976241,,
Bethlehem,4,greater range of food options,20/10/2024 11:47:00 AM,$9.30,4976243,,
Nelson ,5,As always ABCs had great food coffee and service. Thanks,20/10/2024 8:27:00 AM,$47.10,4976245,,
Rotorua,5,The service and food,20/10/2024 12:24:00 PM,$25.00,4976246,,
Nelson ,5,"Great service, delicious hot chocolate",19/10/2024 8:29:00 AM,$17.70,4976249,,
Nelson ,5,Friendly staff. Good food. Good service.,20/10/2024 10:41:00 AM,$28.00,4976251,,
Dunedin  ,5,Good friendly service. Good food,20/10/2024 9:11:01 AM,$12.10,4976255,,
Manukau  ,4,Maybe change the type of salad available.,19/10/2024 10:32:00 AM,$18.60,4976256,,
Kerikeri,5,Friendly customer service.,20/10/2024 9:56:00 AM,$4.50,4976257,,
Albany  ,5,*,20/10/2024 8:42:00 AM,$11.30,4976263,,
Domain,5,Staff are friendly and remember my order and name,20/10/2024 7:07:00 AM,$10.00,4976264,,
Wellington central,3,"was okk a a a y y , might or might not go again",20/10/2024 8:00:00 AM,$5.80,4976266,,
Petone  ,5,Friendly people who care about their customers,19/10/2024 8:50:00 AM,$5.30,4976267,,
London St,4,A little more cheese pn the omelette.,20/10/2024 6:36:00 AM,$22.50,4976268,,
Rotorua  ,5,"Great staff and good service, excellent coffee.",20/10/2024 9:38:01 AM,$5.30,4976270,,
Ferryhead,4,"I have visited ABCs Cafe many times and been very satisfied. Except today, when I ordered a Vegie Fritatta - it had been slightly overheated - the Brocolli on top had been singed. My friend ordered the same food but it appeared much larger in size than the one I ordered. I was told her Fritatta had more eggs in it and less vegetables, whereas mine had more vegies but it had been overheated. I did comment but disappointed that it wasn't what I expected. The first time I have ever needed to make complaint.",20/10/2024 11:21:00 AM,$12.70,4976271,,
Marlborough  ,5,Great coffee and always Happy and friendly staff good service as well,20/10/2024 9:07:00 AM,$11.10,4976272,,
Bethlehem,5,the staff are always friendly and polite which we like thankyou,20/10/2024 9:18:00 AM,$20.90,4976273,,
Williams Drive,5,Tracy always is fresh and bubbly. That is ehy i keep going back,20/10/2024 7:28:00 AM,$6.00,4976275,,
Broadway,3,We had to wait 15mins just for a flat white & hot chocolate when the people just in front of us got 2 coffees & not waited long at all,20/10/2024 9:47:00 AM,$5.20,4976276,,
Invercargill  ,5,Lovely cup of coffee,20/10/2024 9:50:00 AM,$8.58,4976277,,
Rosebank Road,5,Excellent efficient and consistent friendly service,20/10/2024 6:13:00 AM,$10.30,4976278,,
Westgate  ,5,"Enjoyable food, friendly and efficient service and a very warm welcome. We are regular customers because of this.",20/10/2024 1:07:01 PM,$25.00,4976280,,
Riccarton,5,"Great service, great food.",20/10/2024 8:43:00 AM,$69.00,4976283,,
Timaru,4,Attn to coffee detail. Its good vut could be better,20/10/2024 6:49:00 AM,$15.80,4976285,,
Wanganui  ,5,"Friendly atmosphere GREAT coffee enjoyable tasty food to go with it it is a pleasure to spend time there, and we always look forward to our next visit.",20/10/2024 10:18:00 AM,$22.30,4976286,,
Crofton Downs  ,5,"Friendly and fast service, with perfect flavour",19/10/2024 7:42:01 AM,$7.54,4976290,,
Taupo  ,5,"Very pleasant and Friendly staff, clean premises, good food selection. Coffee tastes good after a long drive. Standards are consistently high and you don’t have to worry about a hit and miss approach any time you call in. Always a go to destination when travelling through Taupo.",20/10/2024 10:06:00 AM,$27.40,4976299,,
Richmond,5,"good coffee ,friendly staff",20/10/2024 8:34:00 AM,$4.50,4976305,,
Williams Drive,5,Fresh muffin and fast service,21/10/2024 6:59:00 AM,$10.10,4976308,,
Wellington central,5,"Lovely staff, welcoming and friendly, and great coffee",21/10/2024 6:51:01 AM,$12.87,4976310,,
Te Awamutu  ,5,"The staff great you as you walk in, go out of the way to accomodate your requests and the coffee is excellent and hot when it is brought to the table.",20/10/2024 11:02:00 AM,$19.30,4976311,,
Porirua  ,5,"Coffee great as always, served with a smile and friendly face!",21/10/2024 7:11:00 AM,$0.00,4976312,,
Domain,5,Remember my name and always friendly and helpful,21/10/2024 7:16:00 AM,$5.00,4976313,,
Dunedin  ,5,Fantastic service all round,21/10/2024 7:25:00 AM,$10.20,4976315,,
Bethlehem,5,"clean, spacious nice staff and coffee",21/10/2024 7:18:00 AM,$4.50,4976317,,
Williams Drive,4,Remind when enough points for free coffee.,20/10/2024 11:13:00 AM,$9.30,4976318,,
Gate Pa ,4,Good thick egg sandwiches (egg & tomato too) at about $3.95 like at most bakeries. Ok?,19/10/2024 9:29:00 AM,$6.80,4976320,,
Kapiti  ,4,Faster service at ordering point so shorter queue.,19/10/2024 10:51:00 AM,$4.90,4976323,,
Manukau Centre,5,Consistently good coffee and food options always available- even if I've had breakfast it's tempting!,21/10/2024 7:50:00 AM,$0.00,4976324,,
Upper Hutt,5,"Great service, great prices and lovely soy chai latte",21/10/2024 7:14:00 AM,$22.00,4976327,,
Glen Innes,5,Chan & her team are always very welcoming & friendly. You feel like part of a family there. Of course the food & coffee are fantastic too.,21/10/2024 6:39:00 AM,$16.50,4976328,,
New Lynn  ,5,The lady that served me was very friendly. Great customer service,21/10/2024 7:27:00 AM,$5.80,4976329,,
Domain,5,The guys at Middlemore are like family and just love visiting them! It’s been 4 weeks since have been am off on ACC so visited a GF and meet and had breakfast with her!,21/10/2024 6:56:00 AM,$21.30,4976333,,
Dunedin  ,5,Friendly staff and great choice of cabinet food.,21/10/2024 7:56:00 AM,$10.20,4976335,,
Richmond,5,Everything,21/10/2024 8:05:00 AM,$10.80,4976337,,
Botany  ,5,I love the environment! Kids love the playground! And of course coffee is awesome! ???? Thx! ??,19/10/2024 9:23:00 AM,$46.70,4976341,,
Warkworth  ,5,"Great location, great staff, this is my favourite place to have coffee and food",21/10/2024 7:10:00 AM,$4.00,4976342,,
Hastings  ,4,Having a larger range food that fit with people with allergy towards gluten and lactose,20/10/2024 10:47:00 AM,$14.00,4976343,,
Glen Eden,5,everything,19/10/2024 5:56:00 AM,$4.60,4976346,,
New Plymouth  ,5,"This site consistently does great coffe, and the cooked food is a better standard than the other sites I use",21/10/2024 8:19:00 AM,$19.50,4976347,,
Glen Eden,5,Friendly service!,21/10/2024 8:23:00 AM,$8.50,4976348,,
Auckland Central,5,Love the staff friendly the food yum service is outstanding,21/10/2024 8:20:00 AM,$25.80,4976350,,
Masterton  ,5,"great food, lovely staff.",19/10/2024 8:32:00 AM,$8.40,4976352,,
Riccarton,4,The visit was up to your usual high standards. To get to 5 stars you would need to surprise me with something I did not expect - something out of the usual,21/10/2024 6:08:00 AM,$56.40,4976353,,
Glen Innes,5,Great customer service!,21/10/2024 8:22:00 AM,$11.10,4976354,,
